price,living_area,type_of_house,year_of_construction,number_of_rooms,balcony,garden,interior,latitude,longitude
"€3,550 per month",115 m²,Flat,1950,3,Present,Not present,,52.360305942041,4.858467651878
"€3,950 per month",125 m²,Flat,1828,4,Not present,Not present,Furnished,52.368845519517,4.898495020534
"€3,000 per month",120 m²,Flat,1760,3,Not present,,Upholstered,52.366382383963,4.8862997812704
"€1,600 per month",60 m²,Flat,1965,3,Not present,"Present (20 m², located on the south)",Upholstered,52.394316846618,4.9466670749158
"€2,550 per month",80 m²,Flat,1967,4,Not present,Present,,52.343382209793,4.8686774251479
"€1,995 per month",71 m²,Flat,1998,3,,,,52.358107609047,4.9376610026571
"€2,950 per month",65 m²,Flat,,3,Present,Not present,Furnished,52.354786217842,4.8828997942395
"€2,350 per month",65 m²,Flat,1621,2,Present,Not present,Furnished,52.378609262065,4.8884594211422
"€2,000 per month",84 m²,Flat,1977,5,,,Upholstered,52.412260906459,4.9174904485466
"€2,250 per month",58 m²,Flat,1618,2,Not present,Not present,Furnished,52.375789119623,4.8868023042871
"€2,100 per month",48 m²,Flat,1925,2,Present,Not present,Upholstered or furnished,52.347220820013,4.8607221973539
"€2,400 per month",79 m²,Flat,,3,Not present,Not present,Upholstered,52.383913812622,4.8852056391767
"€2,600 per month",92 m²,Flat,,3,Present,Not present,Furnished,52.369489841771,4.8364358257043
"€1,895 per month",24 m²,Flat,2005,1,Not present,Not present,Furnished,52.341780804437,4.8250255181161
"€2,450 per month",60 m²,Flat,1923,3,Present,Not present,Furnished,52.347568007999,4.9108517687211
"€2,295 per month",60 m²,Flat,2024,3,Not present,Present,,52.387542770855,4.9038971487919
"€2,250 per month",80 m²,Flat,1962,3,Present,,Furnished,52.326746096439,4.8728616936577
"€2,450 per month",55 m²,Flat,,3,Present,Not present,Furnished,52.380382364383,4.8912006352452
Price on request,211 m²,House,2004,7,Not present,Present,,52.350347879458,4.778140938983
"€1,800 per month",102 m²,Flat,1981,4,Not present,,,52.371571020287,4.9078334266289
"€2,950 per month",74 m²,Flat,1905,3,Present,,Furnished,52.363705170978,4.9203485664273
"€2,500 per month",60 m²,Flat,1930,3,Present,Not present,Furnished,52.374952863706,4.8720384196397
"€2,500 per month",74 m²,Flat,2003,3,Present,,Upholstered,52.350481840577,4.795693042117
"€1,800 per month",93 m²,Flat,2023,3,,Not present,,52.313991953679,4.951056568974
"€4,500 per month",145 m²,Flat,1900,2,Not present,Not present,Shell,52.365898273082,4.883654419154
"€2,450 per month",95 m²,Flat,,4,Present,Not present,Upholstered,52.394135893738,4.9439362534783
"€2,350 per month",70 m²,Flat,1903,2,Present,Not present,Furnished,52.353910651009,4.8695378614336
"€3,300 per month",85 m²,Flat,1964,4,Present,,Furnished,52.331089986734,4.8693784402031
"€1,425 per month",71 m²,Flat,2014,3,,Not present,Furnished,52.408125895085,4.9134853107123
"€4,200 per month",120 m²,Flat,2022,3,Present,Not present,Furnished,52.394118390037,4.8991576479328
"€1,435 per month",69 m²,Flat,2022,3,Present,Not present,Upholstered,52.305066640204,4.9482845130962
"€2,450 per month",75 m²,Flat,1740,2,Not present,,Furnished,52.364180314359,4.8961826668991
"€1,450 per month",65 m²,Flat,2023,2,,Not present,,52.313991953679,4.951056568974
"€3,300 per month",80 m²,Flat,2022,4,Not present,Not present,Upholstered,52.348423295061,4.8483210085446
"€2,295 per month",57 m²,Flat,1950,3,Present,Not present,,52.352152291323,4.9022344552498
"€1,795 per month",75 m²,Flat,2020,3,Present,Not present,Upholstered,52.401776212896,4.9340080585176
"€2,750 per month",75 m²,Flat,1930,3,Not present,Present (35 m²),Upholstered,52.363086150995,4.8542367541622
"€3,475 per month",85 m²,Flat,1515,3,,,Furnished,52.375434499898,4.9009189300195
"€2,750 per month",95 m²,Flat,1934,5,,,Furnished,52.371652204649,4.90348605874
"€2,600 per month",80 m²,Flat,2021,3,,,Upholstered,52.387553257034,4.9021751036442
"€2,250 per month",110 m²,Flat,2020,4,,,Upholstered,52.404385749422,4.9145057819012
"€3,950 per month",135 m²,Flat,1819,5,,,Upholstered,52.374225798288,4.8826934673019
"€2,100 per month",51 m²,Flat,1925,3,Present,Not present,Upholstered,52.380460582217,4.8553780725697
"€4,200 per month",98 m²,Flat,1891,3,Not present,Not present,Furnished,52.356967448961,4.8963653787025
"€2,000 per month",75 m²,Flat,2019,2,Not present,Not present,,52.356561722536,4.9123533170356
"€2,150 per month",70 m²,Flat,Before 1906,4,Not present,Present,,52.362370983681,4.9291175155393
"€2,750 per month",86 m²,Flat,,3,Present,Not present,Furnished,52.389474402076,4.8776722454538
"€2,650 per month",90 m²,Flat,1850,3,Not present,,Upholstered,52.363813999173,4.9166380419559
"€1,006 per month",42 m²,Studio,2022,2,Not present,Not present,Furnished,52.298272154163,4.9534852087478
"€2,190 per month",52 m²,Flat,1908,3,Present,Not present,Upholstered,52.354170847241,4.8904074092063
"€3,400 per month",75 m²,Flat,Before 1906,5,Not present,"Present (35 m², located on the south)",Upholstered,52.353429084073,4.8914138212343
"€2,500 per month",70 m²,Flat,1971-1980,4,Present,Not present,Furnished,52.307680004115,4.9754295837374
"€2,150 per month",57 m²,Flat,2020,2,Not present,Present,Furnished,52.40175033195,4.8914306150688
"€2,950 per month",90 m²,Flat,Before 1906,2,Not present,Not present,,52.371154599059,4.8866049596667
"€1,800 per month",59 m²,Flat,1935,3,Present,Not present,Upholstered,52.362430406706,4.8512192403461
"€2,150 per month",65 m²,Flat,1646,3,Not present,Not present,Furnished,52.374824072273,4.8989137576549
"€3,000 per month",100 m²,Flat,,3,Present,Not present,Furnished,52.361064136324,4.8433081975665
"€2,800 per month",80 m²,Flat,1997,3,Not present,Present (1 m²),Furnished,52.371860929281,4.9017804198713
"€2,650 per month",77 m²,House,1960,3,Not present,Present (55 m²),Furnished,52.355338176775,4.8296243790749
"€1,975 per month",65 m²,Flat,1989,2,Present,Not present,Furnished,52.369436327234,4.9156386700591
"€3,250 per month",90 m²,Flat,1905,2,Present,,Furnished,52.368760170157,4.8979330679575
"€2,000 per month",60 m²,Flat,,2,Present,Not present,Furnished,52.361726859483,4.8086825465749
"€2,300 per month",70 m²,Flat,1985,3,Not present,Not present,Upholstered,52.366956059819,4.896843126025
"€2,250 per month",65 m²,Flat,1778,2,Present,Not present,Furnished,52.374073615444,4.9049971897083
"€5,500 per month",169 m²,Flat,1901,6,Present,Not present,Upholstered,52.354296583933,4.8818925507303
"€2,700 per month",72 m²,Flat,,3,Not present,Not present,Upholstered,52.371856063903,4.8791962169498
"€2,750 per month",105 m²,Flat,,3,Present,Present,Furnished,52.361225859233,4.8818283207245
"€1,800 per month",55 m²,Flat,2020,3,Not present,Not present,Upholstered,52.3621846444,4.9763030872945
"€2,575 per month",58 m²,Flat,1897,3,Present,Not present,Upholstered,52.361253061856,4.8668488899609
"€2,250 per month",52 m²,Flat,1903,3,Present,Not present,Furnished,52.352372150225,4.9120184580515
"€2,250 per month",115 m²,Flat,2000,1,Not present,,Upholstered or furnished,52.36957346423,4.8312515210868
"€3,250 per month",70 m²,Flat,1910,3,Present,Not present,Furnished,52.35469959395,4.8836640605756
"€3,500 per month",139 m²,Flat,1927,4,Not present,Present (14 m²),,52.362794485624,4.8787420867837
"€2,200 per month",60 m²,Flat,1824,3,Not present,Not present,Upholstered,52.382745950787,4.8868853656083
"€2,700 per month",96 m²,Flat,1912,3,Not present,Not present,,52.365176944174,4.9342565813858
"€4,250 per month",144 m²,Flat,Before 1906,6,Present,,Furnished,52.366631941148,4.9022340603318
"€1,895 per month",56 m²,Flat,2007,2,Present,Not present,Furnished,52.362291029167,4.9784756869575
"€2,950 per month",120 m²,Flat,,3,Not present,Not present,Furnished,52.355990807485,4.8936163977267
"€2,150 per month",60 m²,Flat,2021-2030,2,Present,Not present,,52.408961508164,4.905288116014
"€1,975 per month",30 m²,Studio,,1,Present,Not present,Upholstered or furnished,52.384714511263,4.9218359683457
"€3,250 per month",117 m²,Flat,1906-1930,4,Not present,"Present (63 m², located on the south-east)",Upholstered,52.367501972359,4.8740924342566
"€3,750 per month",82 m²,Flat,1906,3,Not present,,Furnished,52.378685924488,4.8832155004898
"€2,245 per month",77 m²,Flat,1922,3,Present,Not present,Upholstered,52.368171021741,4.8606644569911
"€3,200 per month",105 m²,Flat,1930,4,Present,Not present,Upholstered,52.345395393005,4.8917383539078
"€3,000 per month",100 m²,House,1986,4,Not present,"Present (1 m², located on the north)",Furnished,52.382935966886,4.9156713716012
"€2,750 per month",61 m²,Flat,1876,3,Present,Not present,Furnished,52.37561748753,4.8826988866373
"€2,750 per month",120 m²,Flat,2006,3,Present,,Furnished,52.335256575272,4.8873178165418
"€2,200 per month",60 m²,Flat,1950,2,Present,Not present,,52.353679228407,4.8932017615675
"€2,950 per month",100 m²,Flat,1934,3,Not present,,Furnished,52.342884701467,4.8953029484213
"€7,500 per month",190 m²,Flat,1940,3,Not present,Not present,Furnished,52.358997363978,4.8756587722434
"€2,700 per month",75 m²,Flat,1999,4,Not present,Not present,Furnished,52.361825666421,4.9005689348563
"€2,650 per month",133 m²,Flat,2007,3,Not present,Not present,Furnished,52.384217391547,4.8927000049484
"€1,750 per month",100 m²,Flat,2008,2,Present,Not present,Upholstered or furnished,52.313534262257,4.9815638865232
"€2,100 per month",53 m²,Flat,1927,2,Not present,Not present,,52.37181907684,4.8484626389332
"€3,500 per month",150 m²,Flat,1876,3,Not present,,Furnished,52.367888293141,4.9128507035152
"€2,800 per month",93 m²,Flat,1910,3,Present,Not present,Furnished,52.354718005597,4.883766601213
"€2,750 per month",86 m²,Flat,1832,3,Present,,Upholstered,52.363698819588,4.8842519594259
"€2,350 per month",80 m²,Flat,1995,3,Present,,Furnished,52.362388897009,4.840179567452
"€2,500 per month",105 m²,Flat,1937,2,Not present,Not present,Upholstered or furnished,52.381707134468,4.8856486538364
"€2,500 per month",70 m²,Flat,1890,3,Not present,Not present,Upholstered,52.353534549636,4.8844552189806
"€1,950 per month",55 m²,Flat,,2,Not present,Not present,Furnished,52.371245371498,4.8985273168634
"€4,500 per month",107 m²,Flat,Before 1906,4,Not present,Not present,Furnished,52.373374854119,4.8812640472959
"€1,999 per month",55 m²,Flat,,2,Present,Not present,Furnished,52.378176851608,4.8755844221032
"€3,950 per month",140 m²,Flat,Before 1906,5,Not present,Not present,Furnished,52.367389219906,4.91166674332
"€3,500 per month",164 m²,Flat,,4,Not present,Present (50 m²),Furnished,52.343908135939,4.8244409283089
"€2,350 per month",42 m²,Flat,1675,3,Not present,Not present,Furnished,52.363625294372,4.8989204673202
"€2,950 per month",84 m²,Flat,1675,3,Not present,Not present,Furnished,52.363620385464,4.8988961061139
"€2,300 per month",75 m²,Flat,2016,2,Present,,Upholstered,52.340765794759,4.900357216611
"€2,150 per month",50 m²,Studio,,1,Present,Not present,Furnished,52.356637865118,4.891451368436
"€9,000 per month",183 m²,Flat,Before 1906,6,Present,"Present (13 m², located on the south)",Furnished,52.367574899185,4.8848100092215
€950 per month,14 m²,Flat,2019,1,Not present,Present (58 m²),Upholstered,52.389669118377,4.9636856734667
"€1,800 per month",72 m²,Flat,2014,3,Not present,Not present,,52.408359182238,4.9138978828335
"€2,450 per month",100 m²,Flat,1740,2,Not present,,Furnished,52.364180314359,4.8961826668991
"€4,250 per month",157 m²,Flat,2010,3,Not present,Not present,Upholstered or furnished,52.336204986341,4.8737205097693
"€3,400 per month",170 m²,Flat,,3,Not present,Not present,Furnished,52.366857550986,4.9203497952561
"€2,000 per month",55 m²,Flat,1990,2,Not present,Not present,Furnished,52.362399313896,4.8623331895311
"€1,800 per month",69 m²,Flat,1930,3,Not present,Present,Upholstered,52.361187626385,4.8546548508663
"€2,450 per month",100 m²,Flat,,2,Present,Not present,Furnished,52.364180314359,4.8961826668991
"€2,100 per month",91 m²,Flat,,4,Present,Not present,Furnished,52.306354797569,4.9768641180044
"€2,750 per month",92 m²,Flat,,3,Not present,Present,Furnished,52.346324245477,4.8531894924696
"€2,450 per month",80 m²,Flat,1991,3,Present,Not present,Upholstered,52.364819750343,4.9232488731765
"€2,995 per month",101 m²,Flat,Before 1906,2,Not present,Present,Upholstered or furnished,52.36673861651,4.8911035809452
"€2,750 per month",74 m²,Flat,1991,3,Not present,"Present (50 m², located on the north-east)",Furnished,52.363821315374,4.8607454422663
"€2,150 per month",106 m²,Flat,2020,3,Present,Not present,Furnished,52.385244725801,4.9058315677118
"€3,950 per month",110 m²,Flat,1925,5,Not present,"Present (50 m², located on the south-east)",Upholstered,52.383436853133,4.8497021660085
"€2,650 per month",107 m²,Flat,2008,4,Not present,Not present,Furnished,52.36956187622,4.8364642982463
"€2,650 per month",71 m²,Flat,1930,2,Not present,"Present (34 m², located on the south)",,52.345031896708,4.8616433527706
"€2,150 per month",41 m²,Flat,1989,2,Present,Not present,Furnished,52.362140567744,4.9393671727151
"€6,000 per month",165 m²,Flat,1906,4,Present,Not present,,52.356206053064,4.8765570096574
"€2,500 per month",95 m²,Flat,Before 1906,3,Not present,Not present,Upholstered or furnished,52.373066202286,4.8978119278727
"€10,000 per month",210 m²,Flat,1912,6,Not present,"Present (23 m², located on the south)",Upholstered or furnished,52.355657111387,4.8826843942472
"€2,475 per month",67 m²,Flat,2020,3,Present,Not present,Furnished,52.401767614452,4.8914476138138
"€3,250 per month",80 m²,Flat,,3,Not present,Not present,Furnished,52.358920060376,4.8949625795854
"€1,995 per month",49 m²,Flat,2017,2,Not present,,Upholstered,52.372233573305,4.9655246659639
"€2,750 per month",89 m²,Flat,1991,4,Not present,Not present,Upholstered,52.389194530109,4.8836836415826
"€2,750 per month",70 m²,Flat,1912,3,Present,Not present,Furnished,52.360170664468,4.8624035931828
"€2,450 per month",100 m²,Flat,1931-1944,4,Present,Not present,,52.34452526988,4.869045627597
"€2,650 per month",67 m²,Flat,Before 1906,3,Present,Not present,,52.353484888999,4.8917744549821
"€1,295 per month",25 m²,Studio,1940,1,Present,Not present,Furnished,52.377003871886,4.8526960221006
"€2,750 per month",104 m²,House,2018,5,Not present,Present (29 m²),Upholstered or furnished,52.313383671939,4.9682539824039
"€1,099 per month",50 m²,Flat,2024,2,,Not present,,52.385607554733,4.8547732937272
"€2,495 per month",144 m²,House,2003,3,Not present,Present (15 m²),Shell,52.353833520155,4.9943765884239
"€4,850 per month",139 m²,Flat,1938,5,Present,Not present,Upholstered,52.347667681216,4.8703444788842
"€4,150 per month",91 m²,Flat,1930,3,Present,,Upholstered,52.350447404897,4.8760601327854
"€2,140 per month",105 m²,Flat,2015,3,Not present,Not present,Upholstered,52.369925601375,4.9547322579926
"€3,000 per month",90 m²,Flat,1921,3,Not present,Not present,Furnished,52.377912928631,4.8727530313477
"€2,350 per month",80 m²,Flat,2000,4,,,,52.332917051897,4.8577667951883
"€2,500 per month",85 m²,Flat,,4,Present,Not present,Upholstered,52.399825643661,4.9513582866421
"€2,350 per month",75 m²,Flat,1735,2,Not present,Not present,Furnished,52.3747424956,4.885844893751
"€2,950 per month",164 m²,Flat,1968,4,Present,Not present,Furnished,52.330930548571,4.8887602210371
"€2,750 per month",84 m²,Flat,2023,3,Present,Not present,Upholstered,52.372782202321,4.9284501131946
"€7,250 per month",170 m²,Flat,2011-2020,4,Present,Not present,Furnished,52.336489311557,4.8753462052746
"€2,499 per month",59 m²,Flat,1786,2,Not present,Not present,Furnished,52.372310757101,4.8825390370729
"€2,895 per month",106 m²,House,1994,4,Not present,Present,,52.35059490796,4.7737637258103
"€2,900 per month",107 m²,House,1928,4,Not present,Not present,Furnished,52.351358428215,4.9378174241996
"€2,999 per month",125 m²,Flat,2023,3,,Not present,,52.402864904061,4.8885770775222
"€2,300 per month",90 m²,Flat,,4,Not present,Not present,Furnished,52.327528870648,4.8751264053751
"€2,650 per month",98 m²,Flat,1997,3,Present,Present,Furnished,52.345240586901,4.9154407744517
"€2,750 per month",79 m²,Flat,2005,3,Present,Not present,Upholstered,52.351602726047,4.8996242472174
"€2,650 per month",80 m²,Flat,2016,3,Present,Not present,Furnished,52.367846102194,4.9268371244593
"€4,800 per month",170 m²,House,1906,4,Present,"Present (500 m², located on the west)",Upholstered,52.357497055099,4.8778926614631
"€2,400 per month",89 m²,Flat,1994,3,Present,Not present,,52.377093328266,4.9482333153847
"€2,600 per month",100 m²,Flat,1642,2,Not present,Not present,Furnished,52.372707340389,4.887478708844
"€2,450 per month",80 m²,Flat,Before 1906,3,Not present,Not present,Upholstered,52.373897144611,4.8836076665726
"€2,100 per month",85 m²,Flat,1994,3,Present,Not present,Furnished,52.346129357059,4.8116155285018
"€2,150 per month",68 m²,Flat,2006,2,Not present,Not present,Furnished,52.375196031753,4.8742237041446
"€3,250 per month",96 m²,Flat,,3,Not present,Not present,Furnished,52.372289347537,4.8880899537166
"€2,400 per month",60 m²,Flat,,2,Not present,Not present,Upholstered,52.363165357017,4.8963407121015
"€3,575 per month",74 m²,Flat,2019,2,Not present,Not present,Furnished,52.360281199103,4.8950189586775
"€1,899 per month",45 m²,Flat,2022,2,Present,Not present,Furnished,52.370144215796,4.9267828363996
"€3,000 per month",96 m²,Flat,,3,Present,Not present,Furnished,52.341594928579,4.8669227238441
"€4,150 per month",145 m²,Flat,Before 1906,3,Not present,Not present,Furnished,52.361389368355,4.8864655636343
"€4,950 per month",230 m²,Flat,1930,8,Not present,,Upholstered,52.351323255934,4.8636530475338
"€2,900 per month",86 m²,Flat,2001-2010,3,Present,Not present,Furnished,52.36912892276,4.9106936834683
"€2,500 per month",61 m²,Studio,1882,2,Not present,Not present,Furnished,52.369060213371,4.8981891528183
"€2,600 per month",130 m²,Flat,2020,4,,Not present,Furnished,52.389994324355,4.9643414627069
"€4,600 per month",252 m²,House,2008,7,Present,"Present (100 m², located on the north-east)",Furnished,52.353998407226,4.9953145319939
"€2,350 per month",45 m²,Flat,1911,3,Present,Not present,Upholstered,52.363852516833,4.8616993728552
"€1,995 per month",55 m²,Flat,2016,2,Not present,Present (5 m²),,52.338792977167,4.8940268234237
"€3,250 per month",110 m²,Flat,1930,4,Not present,,Upholstered or furnished,52.368462454383,4.8906731780313
"€2,500 per month",60 m²,Flat,1767,2,Present,Not present,Upholstered,52.372239064555,4.8860926321377
"€2,900 per month",154 m²,House,2010,5,Not present,,Upholstered,52.363572300843,4.9852294170848
"€1,835 per month",99 m²,Flat,2016,4,,Not present,,52.353624897418,4.8399793534917
"€2,900 per month",97 m²,Flat,2004,4,Present,Not present,Furnished,52.37832759479,4.8467974477951
"€4,200 per month",110 m²,Flat,1701,4,Present,,Upholstered,52.364022896166,4.8864945679294
"€2,600 per month",68 m²,Flat,1701,2,Not present,,Upholstered,52.364022896166,4.8864945679294
"€3,000 per month",125 m²,Flat,2020,3,Present,Not present,Upholstered,52.337863725793,4.8940469902341
"€3,250 per month",100 m²,Flat,1762,3,Present,,Furnished,52.377188188046,4.8946581812913
"€3,000 per month",90 m²,Flat,1910,3,Not present,,Upholstered,52.354718005597,4.883766601213
"€3,500 per month",100 m²,Flat,1912,3,Not present,Present,Furnished,52.353793657865,4.8633743749219
"€3,000 per month",98 m²,Flat,,4,,Present (10 m²),Furnished,52.353423047365,4.9277861025669
"€3,250 per month",104 m²,Flat,1911,4,Present,"Present (42 m², located on the north-east)",Upholstered,52.359265839952,4.8570120418238
"€1,650 per month",55 m²,Flat,1926,2,Not present,Not present,Furnished,52.378054812007,4.895573788475
"€3,850 per month",155 m²,Flat,1879,3,Present,Not present,Upholstered,52.374296048308,4.8886694569155
"€6,000 per month",201 m²,Flat,1616,4,Not present,Not present,Furnished,52.373218447041,4.8867578826846
"€2,350 per month",63 m²,Flat,1862,2,Not present,Present (27 m²),,52.359662331578,4.8925479489383
"€7,500 per month",208 m²,Flat,1914,7,Not present,Not present,,52.351994575362,4.8610031557829
"€2,500 per month",95 m²,Flat,2018,3,Not present,,Upholstered,52.394267102933,4.8756374026022
"€1,750 per month",106 m²,Flat,2005,3,,Not present,,52.353625847221,4.8401848364267
"€2,150 per month",93 m²,Flat,2013,3,,Not present,Furnished,52.356367211368,4.8021931971324
"€2,300 per month",81 m²,Flat,1934,3,,Not present,Upholstered,52.343383989281,4.9052468904752
"€2,450 per month",67 m²,Flat,1889,3,Present,Not present,Upholstered,52.353788815068,4.9023156943605
"€2,500 per month",81 m²,Flat,2021,3,Present,Not present,Furnished,52.369577820867,4.9541807935614
"€2,600 per month",78 m²,Flat,2023,3,Present,Not present,Upholstered,52.392464371747,4.8831209752081
"€8,900 per month",248 m²,Flat,1906-1930,6,Not present,Present (55 m²),,52.354369672593,4.882170607992
"€1,450 per month",43 m²,Studio,,1,Present,Not present,Upholstered,52.37167558982,4.9672235542046
"€2,000 per month",55 m²,Flat,1988,3,Not present,Present,Furnished,52.368519424037,4.9435021253201
"€3,000 per month",110 m²,Flat,1880,3,Not present,"Present (50 m², located on the north-west)",Upholstered,52.363881222104,4.9035079751532
"€2,150 per month",55 m²,Flat,1960-1970,2,Not present,Not present,Upholstered or furnished,52.32746093573,4.8718998977637
"€2,450 per month",90 m²,Flat,1960-1970,3,Not present,Not present,Upholstered or furnished,52.327469923078,4.8718997934924
"€3,975 per month",150 m²,Flat,1906,3,Not present,"Present (12 m², located on the north)",Furnished,52.357203949449,4.8954529975445
"€3,250 per month",110 m²,Flat,1875,3,Present,Not present,Upholstered,52.360080631031,4.879609564793
"€3,500 per month",68 m²,Flat,1875,3,Present,Not present,Upholstered or furnished,52.360230226146,4.8801954632155
"€3,500 per month",65 m²,Flat,1875,3,Present,Not present,Upholstered or furnished,52.360230226146,4.8801954632155
"€4,500 per month",160 m²,Flat,1929,5,Present,"Present (100 m², located on the south)",Upholstered,52.357692893188,4.8529939677496
"€4,500 per month",110 m²,Flat,1930,4,Not present,"Present (62 m², located on the south)",,52.348829865873,4.8751155074035
"€2,850 per month",108 m²,Flat,Before 1906,3,Not present,Not present,Upholstered,52.38735918679,4.8896242776001
"€7,000 per month",200 m²,Flat,1904,4,Present,Not present,Furnished,52.387278489658,4.8854093587706
"€2,750 per month",73 m²,Flat,1896,3,Not present,Not present,Upholstered,52.355398389429,4.9025036102889
"€3,199 per month",85 m²,Flat,1900,4,Present,Present,Upholstered,52.362449604303,4.7984990860129
"€2,500 per month",122 m²,House,2009,6,Not present,Present (17 m²),,52.406226354607,4.9142626140828
"€4,500 per month",73 m²,Flat,1928,2,Not present,Present,Furnished,52.376195950269,4.8831263105827
"€2,750 per month",115 m²,Flat,1912,5,Present,Not present,Furnished,52.364393921162,4.9339709418298
"€2,575 per month",54 m²,Flat,1902,3,Present,Not present,Upholstered,52.373035657826,4.8818112454521
"€2,555 per month",84 m²,Flat,1987,3,Present,Not present,Furnished,52.363620833085,4.8682647343705
"€2,175 per month",50 m²,Flat,Before 1906,2,Not present,Not present,Upholstered,52.370321486978,4.892090751632
"€2,975 per month",72 m²,Flat,Before 1906,3,Present,Not present,Upholstered,52.370322910654,4.8920744221928
"€5,000 per month",192 m²,Flat,1997,4,Present,Not present,Upholstered,52.331805446503,4.8789208789143
"€2,300 per month",55 m²,Flat,1997,2,Not present,Not present,Upholstered,52.357553146947,4.9175411586489
"€2,500 per month",74 m²,Flat,1865,2,Not present,Not present,,52.367920149441,4.9073736599278
"€2,800 per month",100 m²,Flat,,4,Not present,Not present,Upholstered,52.350848406673,4.7810988925143
"€3,200 per month",59 m²,Flat,1768,3,Not present,Not present,Upholstered or furnished,52.374267327258,4.902509669379
"€2,300 per month",65 m²,Flat,1922,3,Present,Present,,52.34795510558,4.908778264391
"€2,300 per month",118 m²,Flat,2019,4,Not present,Not present,,52.389207549143,4.9618497227101
"€2,900 per month",132 m²,Flat,2022,3,Present,Not present,Upholstered,52.386726079359,4.8350733383738
"€2,000 per month",101 m²,Flat,,3,Present,Not present,Upholstered,52.317230357031,4.9493821824456
"€3,250 per month",92 m²,Flat,,4,Present,Not present,Furnished,52.339506569241,4.9153857507398
"€2,500 per month",79 m²,Flat,1905,3,Present,Not present,,52.360893887017,4.8674304741035
"€4,000 per month",101 m²,Flat,Before 1906,4,Not present,Not present,Furnished,52.373371075344,4.8845975129491
"€4,200 per month",201 m²,Flat,2022,7,Present,Not present,Upholstered,52.386861459495,4.8352753916466
"€1,799 per month",80 m²,Flat,2023,3,,Not present,,52.402864904061,4.8885770775222
"€2,950 per month",104 m²,Flat,,3,Not present,Not present,Furnished,52.379404133504,4.8936936234483
"€2,500 per month",95 m²,Flat,,3,Present,Not present,Furnished,52.361176141734,4.8891838880785
"€2,250 per month",70 m²,Flat,1932,3,Present,Not present,Upholstered,52.372167019011,4.8598681227475
"€4,950 per month",205 m²,Flat,1906-1930,6,Present,"Present (45 m², located on the north-west)",Furnished,52.34731300663,4.8693946641303
"€3,200 per month",100 m²,Flat,1906-1930,4,Not present,Not present,,52.350166694098,4.848270487631
"€2,250 per month",55 m²,Flat,1967,2,Present,Not present,Furnished,52.343009224959,4.8676545562122
"€5,500 per month",125 m²,Flat,2023,4,Present,Not present,Upholstered,52.375915219115,4.9094199573933
"€2,750 per month",125 m²,Flat,2018,4,Not present,"Present (13 m², located on the north-east)",Upholstered,52.372509469049,4.970912553832
"€9,000 per month",310 m²,Flat,,4,Present,Not present,Upholstered,52.373580215665,4.887582534596
"€9,500 per month",152 m²,Flat,,3,Not present,Present,Furnished,52.359417430059,4.8771953367604
"€2,600 per month",87 m²,Flat,1906-1930,3,Present,,Furnished,52.345329899862,4.8911227183895
"€5,450 per month",149 m²,Flat,1882,4,Present,Not present,Upholstered or furnished,52.356700123764,4.9043389645628
"€3,500 per month",189 m²,House,1967,4,Present,Present (1 m²),Upholstered,52.331000493716,4.8653743881566
"€2,900 per month",60 m²,Flat,Before 1906,3,Present,Not present,Furnished,52.357609975172,4.9075326175871
"€3,950 per month",175 m²,House,1991-2000,5,Not present,"Present (30 m², located on the south)",,52.373222658823,4.9370672888642
"€3,000 per month",150 m²,House,2014,6,Not present,Present,Upholstered or furnished,52.35106518988,4.8009397724376
"€2,600 per month",95 m²,Flat,1966,4,Present,Not present,Upholstered,52.397455483277,4.9496184798979
"€1,600 per month",39 m²,Flat,1725,2,Not present,Not present,Upholstered,52.375311138674,4.8906846208794
"€2,500 per month",110 m²,Flat,2008,3,Not present,"Present (8 m², located on the south-west)",Furnished,52.371484358728,4.9361010998602
"€3,300 per month",71 m²,Flat,1920,3,Present,Not present,Furnished,52.360595494534,4.881541891244
"€2,250 per month",65 m²,Flat,,2,Not present,Not present,Upholstered or furnished,52.363117481054,4.8682559403782
"€3,700 per month",90 m²,Flat,2019,3,Not present,Not present,Furnished,52.360296513288,4.8947010621988
"€2,500 per month",67 m²,Flat,1905,2,Not present,Not present,Furnished,52.371693213553,4.8873918236722
"€2,350 per month",65 m²,Flat,,3,Present,Not present,Upholstered or furnished,52.370035972738,4.9075733473317
€975 per month,12 m²,Room,,1,,,Furnished,52.376373662117,4.8025290759208
"€2,450 per month",73 m²,Flat,1936,3,Not present,"Present (30 m², located on the west)",Furnished,52.341517142054,4.9036823511536
"€2,400 per month",75 m²,Flat,2023,4,Not present,,Upholstered or furnished,52.353969440152,5.0042567062205
"€3,500 per month",131 m²,Flat,2021,3,Present,Not present,Upholstered,52.385149669497,4.9057601703731
"€1,650 per month",72 m²,Flat,1983,3,Not present,Not present,,52.324237628085,4.9485210288378
"€3,500 per month",104 m²,Flat,1923,4,Not present,"Present (47 m², located on the north-west)",Upholstered,52.352470783886,4.8794915069872
"€1,850 per month",93 m²,Flat,2022,4,Present,Not present,Shell,52.349672561982,5.01381960227
"€2,300 per month",76 m²,Flat,1925,3,Present,Not present,Furnished,52.390794505914,4.9120033268358
"€2,750 per month",126 m²,Flat,2009,4,Present,Not present,Furnished,52.37745199216,4.8381580197576
